"Group.1";"Group.2";"x"
15;27;6
2;41;7
5;47;3
6;47;3
46;49;2
30;78;7
2;79;2
46;80;2
2;81;7
4;84;2
30;92;2
9;108;1
85;108;1
55;120;1
108;120;1
10;129;2
120;129;1
3;131;1
65;131;1
120;131;2
42;136;1
13;139;2
129;139;5
139;139;7
46;150;2
126;150;7
2;151;7
30;156;7
92;156;7
6;157;3
6;163;5
129;163;5
129;164;2
107;165;1
15;167;3
16;167;5
108;167;5
172;173;1
163;177;7
46;178;2
24;183;1
37;183;1
147;183;1
2;186;7
30;186;7
92;186;7
167;187;3
187;188;3
46;189;7
2;191;2
41;191;3
46;191;7
71;191;7
103;191;3
140;191;3
189;191;3
121;192;3
108;194;1
2;200;2
13;207;7
41;209;7
104;209;2
162;209;2
140;210;2
4;211;7
108;213;2
14;221;5
15;221;5
27;221;5
47;221;5
92;221;7
108;221;5
157;221;5
163;221;5
177;221;5
152;223;2
219;227;1
183;237;1
183;238;1
108;252;5
177;252;5
45;257;1
131;257;1
138;257;1
129;258;1
131;258;1
108;260;1
46;261;2
12;264;1
33;264;1
105;264;1
120;264;1
167;264;1
205;264;1
226;264;1
253;264;1
30;273;7
46;273;3
92;273;7
191;276;6
227;277;1
257;278;1
270;278;1
221;282;5
221;283;5
107;284;1
46;288;2
46;289;2
192;291;3
