"Group.1";"Group.2";"x"
15;27;2
2;41;5
5;47;3
6;47;3
46;49;1
54;64;1
36;68;1
54;68;1
30;78;5
2;79;1
46;80;1
2;81;5
4;84;1
30;92;1
37;107;1
73;107;1
12;108;1
32;108;1
38;108;1
90;108;1
98;121;4
10;129;1
120;129;1
64;131;1
102;131;1
13;139;1
121;139;4
129;139;1
139;139;5
46;150;1
126;150;5
2;151;5
30;156;5
92;156;5
6;157;3
53;161;1
27;164;2
129;164;3
107;165;1
15;167;4
16;167;5
108;167;3
131;167;2
139;167;2
168;173;1
163;177;4
46;178;1
137;183;1
2;186;5
30;186;5
92;186;5
167;187;3
164;188;2
187;188;1
46;189;5
2;191;1
41;191;2
46;191;5
71;191;2
103;191;2
140;191;2
151;191;4
189;191;2
121;192;2
2;200;1
13;207;5
121;207;4
41;209;5
104;209;1
162;209;1
140;210;1
4;211;5
108;213;1
108;214;1
12;219;1
53;219;1
173;219;1
47;221;3
92;221;5
108;221;2
177;221;3
152;223;3
131;226;2
183;237;1
107;238;1
107;248;1
107;250;1
177;252;3
108;254;1
107;255;1
129;260;1
46;261;1
64;264;1
102;264;1
167;264;1
205;264;1
208;264;1
168;268;1
53;269;1
68;272;1
30;273;5
46;273;2
92;273;5
191;276;2
253;277;1
173;278;1
107;284;1
46;288;1
46;289;1
192;291;2
